generation,path_1,path_2,path_3,path_4,path_5,path_6,path_7,path_8
267,235.768,235.768,236.464,236.464,236.464,236.464,236.464,236.464
268,236.464,236.464,236.464,236.464,236.464,236.464,236.464,236.464
269,236.464,236.464,236.464,236.464,236.464,236.464,240.008,250.684
270,236.464,236.464,236.464,236.464,236.464,236.464,236.464,240.008
271,236.117,236.117,236.117,236.117,236.464,236.464,236.464,245.232
272,236.117,236.117,236.117,236.117,236.117,236.117,236.464,266.992
273,236.117,236.117,236.117,236.117,236.117,236.117,236.117,245.436
274,230.727,230.727,230.727,230.727,230.727,236.117,236.117,236.117
275,230.727,230.727,230.727,230.727,230.727,230.727,230.727,230.961
276,230.727,230.727,230.727,230.727,230.727,231.676,240.964,240.964
277,230.727,230.727,230.727,230.727,230.727,230.727,230.727,242.195
278,230.727,230.727,230.727,230.727,230.727,230.727,230.727,233.342
279,229.192,229.192,229.192,229.192,229.192,229.192,230.727,230.727
280,229.192,229.192,229.192,229.192,229.192,229.192,230.727,230.727
281,229.192,229.192,229.192,229.192,229.192,229.192,229.192,229.192
282,229.192,229.192,229.192,229.192,229.192,229.192,229.192,235.254
283,229.192,229.192,229.192,229.192,229.192,229.192,229.192,262.965
284,229.192,229.192,229.192,229.192,229.192,229.192,229.192,258.679
285,229.192,229.192,229.192,229.192,229.192,229.192,229.192,229.192
286,229.192,229.192,229.192,229.192,229.192,229.192,229.192,229.192
287,229.192,229.192,229.192,229.192,229.192,229.192,229.192,263.386
288,229.192,229.192,229.192,229.192,229.192,229.192,229.192,238.739
289,229.192,229.192,229.192,229.192,229.192,229.192,229.192,244.811
290,229.192,229.192,229.192,229.192,229.192,229.192,229.192,245.917
291,229.192,229.192,229.192,229.192,229.192,229.192,229.192,229.192
292,229.192,229.192,229.192,229.192,229.192,229.192,229.192,236.456
293,229.192,229.192,229.192,229.192,229.192,229.192,229.192,229.192
294,229.192,229.192,229.192,229.192,229.192,229.192,229.192,229.192
295,224.491,224.491,224.491,226.842,226.842,229.192,229.192,247.305
296,228.204,228.204,228.204,228.204,228.204,228.204,229.192,240.076
297,227.079,227.079,227.079,227.079,227.079,228.204,228.204,230.813
298,227.079,227.079,227.079,227.079,227.079,228.204,230.813,246.369
299,227.079,227.079,227.079,227.079,227.079,227.079,237.323,243.035
300,227.079,227.079,227.079,227.079,227.079,227.079,227.079,227.079
301,227.079,227.079,227.079,227.079,227.079,227.079,227.079,227.079
302,227.079,227.079,227.079,227.079,227.079,227.079,227.079,248.209
303,227.079,227.079,227.079,227.079,227.079,227.079,248.209,276.52
304,227.079,227.079,227.079,227.079,227.079,227.079,227.079,250.612
305,227.079,227.079,227.079,227.079,227.079,232.8,234.863,234.863
306,229.42,229.42,229.42,229.42,229.42,229.42,230.514,230.675
307,228.642,228.642,228.642,228.642,228.642,228.642,228.642,229.42
308,228.642,228.642,228.642,228.642,228.642,228.642,228.841,229.761
309,228.642,228.642,228.642,228.642,228.642,228.642,231.995,232.301
310,228.642,228.642,228.642,228.642,228.642,228.642,228.642,228.642
311,228.642,228.642,228.642,228.642,228.642,228.642,228.642,228.642
312,228.642,228.642,228.642,228.642,228.642,228.642,228.642,228.642
313,225.414,225.414,225.414,225.414,228.642,228.642,228.642,237.312
314,225.414,225.414,225.414,225.414,225.414,225.414,229.44,231.169
315,223.715,223.715,223.715,223.715,223.715,223.715,223.715,231.937
316,222.739,222.739,222.739,222.739,222.739,222.739,223.715,223.715
317,222.739,222.739,222.739,222.739,222.739,222.739,222.739,257.159
318,222.739,222.739,222.739,222.739,222.739,222.739,222.739,224.167
319,222.739,222.739,222.739,222.739,222.739,222.739,222.739,248.762
320,222.739,222.739,222.739,222.739,222.739,222.739,222.739,222.739
321,222.739,222.739,222.739,222.739,222.739,222.739,222.739,222.739
322,222.739,222.739,222.739,222.739,222.739,222.739,222.739,256.303
323,222.739,222.739,222.739,222.739,222.739,222.739,222.739,223.454
324,222.739,222.739,222.739,222.739,222.739,222.739,222.739,222.739
325,222.739,222.739,222.739,222.739,222.739,222.739,222.739,230.116
326,222.739,222.739,222.739,222.739,222.739,222.739,226.493,234.238
327,222.739,222.739,222.739,222.739,222.739,228.443,239.737,243.347
328,222.739,222.739,222.739,222.739,222.739,222.739,222.739,222.739
329,222.739,222.739,222.739,222.739,222.739,222.739,222.739,232.752
330,222.739,222.739,222.739,222.739,222.739,222.739,236.561,252.092
331,222.739,222.739,222.739,222.739,222.739,222.739,236.957,248.373
332,222.739,222.739,222.739,222.739,222.739,222.739,222.739,238.059
333,222.739,222.739,222.739,222.739,222.739,222.739,222.739,230.783
334,222.739,222.739,222.739,222.739,222.739,222.739,222.739,222.739
335,222.739,222.739,222.739,222.739,226.743,228.649,228.852,252.544
336,222.739,222.739,222.739,222.739,222.739,222.739,222.739,242.11
337,218.524,218.524,218.524,218.524,218.524,218.524,218.524,222.739
338,216.093,216.093,216.093,216.093,218.524,218.524,218.524,218.524
339,216.093,216.093,216.093,216.093,216.093,216.093,217.824,224.345
340,216.093,216.093,216.093,216.093,216.093,216.093,216.093,224.345
341,216.093,216.093,216.093,216.093,216.093,220.167,231.345,240.19
342,214.129,214.129,214.129,214.129,214.129,214.129,216.093,218.108
343,214.129,214.129,214.129,214.129,214.129,214.129,216.093,239.451
344,213.711,213.711,213.711,213.711,213.711,214.129,214.129,214.129
345,213.711,213.711,213.711,213.711,213.711,213.711,213.711,213.711
346,213.711,213.711,213.711,213.711,213.711,213.711,213.711,213.711
347,212.953,212.953,212.953,212.953,212.953,212.953,212.953,212.953
348,212.953,212.953,212.953,212.953,212.953,212.953,215.667,229.955
349,212.953,212.953,212.953,212.953,212.953,212.953,212.953,212.953
350,211.487,211.487,211.487,211.487,211.487,211.487,212.953,212.953
351,211.405,211.405,211.405,211.405,211.405,211.405,211.405,211.405
352,211.405,211.405,211.405,211.405,211.405,211.405,211.405,211.405
353,211.354,211.354,211.354,211.354,211.354,211.405,211.405,211.405
354,211.354,211.354,211.354,211.354,211.354,211.354,211.354,211.354
355,210.215,210.215,210.215,210.215,210.215,210.215,210.215,211.354
356,210.215,210.215,210.215,210.215,210.215,210.215,210.215,218.103
357,210.215,210.215,210.215,210.215,210.215,210.215,210.215,218.103
358,210.215,210.215,210.215,210.215,210.215,210.215,210.215,210.215
359,210.215,210.215,210.215,210.215,210.215,210.215,222.663,224.801
360,210.215,210.215,210.215,210.215,210.215,210.215,210.215,228.449
361,210.215,210.215,210.215,210.215,210.215,215.727,239.582,243.531
362,209.962,209.962,209.962,209.962,209.962,209.962,209.962,209.962
363,208.364,208.364,208.364,208.364,208.364,208.364,209.962,234.303
364,208.364,208.364,208.364,208.364,208.364,208.364,208.364,230.324
365,208.364,208.364,208.364,208.364,208.364,208.364,208.364,208.364
366,208.364,208.364,208.364,208.364,208.364,208.364,208.364,208.364
367,208.364,208.364,208.364,208.364,208.364,208.364,208.364,208.364
368,208.364,208.364,208.364,208.364,208.364,208.364,208.364,237.644
369,208.364,208.364,208.364,208.364,208.364,208.364,208.364,216.19
370,208.364,208.364,208.364,208.364,208.364,208.364,208.364,214.043
371,208.364,208.364,208.364,208.364,208.364,213.029,213.029,224.424
372,208.364,208.364,208.364,208.364,208.364,208.364,208.364,224.424
373,208.364,208.364,208.364,208.364,208.364,208.364,208.364,208.364
374,208.364,208.364,208.364,208.364,208.364,208.364,208.364,222.201
375,208.364,208.364,208.364,208.364,208.364,208.364,210.382,227.223
376,208.364,208.364,208.364,208.364,208.364,208.364,208.364,208.364
377,208.364,208.364,208.364,208.364,208.364,208.364,208.364,208.364
378,208.364,208.364,208.364,208.364,208.364,208.364,209.618,233.078
379,208.364,208.364,208.364,208.364,208.364,208.364,208.364,208.364
380,208.364,208.364,208.364,208.364,208.364,208.364,217.576,217.576
381,207.483,207.483,207.483,207.483,207.483,207.483,216.092,226.409
382,207.483,207.483,207.483,207.483,207.483,207.483,207.483,207.483
383,207.483,207.483,207.483,207.483,207.483,207.483,207.483,207.483
384,207.483,207.483,207.483,207.483,207.483,207.483,207.483,207.483
385,207.483,207.483,207.483,207.483,207.483,207.483,207.483,207.483
386,207.483,207.483,207.483,207.483,207.483,211.553,230.87,232.821
387,207.483,207.483,207.483,207.483,207.483,207.483,207.483,210.55
388,207.483,207.483,207.483,207.483,220.844,224.882,227.642,227.642
389,216.649,216.649,216.649,216.649,216.649,216.649,219.227,227.281
390,216.649,216.649,216.649,216.649,216.649,216.649,216.649,219.75
391,215.235,215.235,215.235,215.235,215.235,215.235,216.649,224.786
392,215.235,215.235,215.235,215.235,218.573,220.762,246.125,246.125
393,220.716,220.716,220.716,220.716,226.74,226.74,226.74,228.366
394,226.974,226.974,226.974,226.974,226.974,226.974,226.974,229.69
395,226.974,226.974,226.974,226.974,226.974,229.69,241.339,244.065
396,226.974,226.974,226.974,226.974,226.974,226.974,226.974,226.974
397,226.974,226.974,226.974,226.974,226.974,226.974,226.974,240.352
398,226.974,226.974,226.974,226.974,226.974,230.883,251.643,251.643
399,226.974,226.974,226.974,226.974,226.974,230.521,230.883,240.931
400,226.974,226.974,226.974,226.974,226.974,226.974,226.974,249.951
401,226.974,226.974,226.974,226.974,226.974,226.974,226.974,248.118
402,226.974,226.974,226.974,226.974,226.974,226.974,226.974,226.974
403,226.974,226.974,226.974,226.974,226.974,226.974,226.974,226.974
404,226.974,226.974,226.974,226.974,226.974,226.974,226.974,263.092
405,225.22,225.22,225.22,225.22,226.974,226.974,243.096,243.096
406,225.22,225.22,225.22,225.22,225.22,225.22,225.22,225.22
407,225.22,225.22,225.22,225.22,225.22,225.22,225.22,225.22
