BLOCK,ACTUAL_P,P_AVE,ERROR
215,2.308086e-02,3.540173e-02,9.095979e-04
216,1.992789e-02,3.533009e-02,9.082035e-04
217,4.436036e-02,3.537170e-02,9.049711e-04
218,4.297260e-02,3.540657e-02,9.014913e-04
219,5.949532e-02,3.551657e-02,9.040604e-04
220,3.828375e-02,3.552914e-02,9.000385e-04
221,5.349637e-02,3.561044e-02,8.996303e-04
222,2.910036e-02,3.558112e-02,8.960557e-04
223,2.122886e-02,3.551676e-02,8.943459e-04
224,9.360712e-03,3.539999e-02,8.979437e-04
225,4.165767e-02,3.542780e-02,8.943834e-04
226,2.192012e-02,3.536803e-02,8.924208e-04
227,4.992774e-02,3.543217e-02,8.907914e-04
228,6.740326e-02,3.557240e-02,8.978533e-04
229,4.898765e-02,3.563098e-02,8.958416e-04
230,2.673287e-02,3.559229e-02,8.927816e-04
231,3.005771e-02,3.556833e-02,8.892382e-04
232,4.883907e-02,3.562553e-02,8.872431e-04
233,4.293306e-02,3.565690e-02,8.839894e-04
234,5.173271e-02,3.572560e-02,8.828772e-04
235,3.060769e-02,3.570382e-02,8.793888e-04
236,5.413740e-02,3.578193e-02,8.791246e-04
237,4.560460e-02,3.582337e-02,8.763916e-04
238,4.484720e-02,3.586129e-02,8.735291e-04
239,2.933662e-02,3.583399e-02,8.703006e-04
240,4.629558e-02,3.587758e-02,8.677653e-04
241,3.712280e-02,3.588275e-02,8.641800e-04
242,4.672574e-02,3.592755e-02,8.617698e-04
243,4.128103e-02,3.594958e-02,8.585050e-04
244,2.165411e-02,3.589099e-02,8.569833e-04
245,5.267450e-02,3.595950e-02,8.562190e-04
246,2.503446e-02,3.591509e-02,8.538894e-04
247,4.984448e-02,3.597148e-02,8.522926e-04
248,4.883299e-02,3.602334e-02,8.504323e-04
249,4.906699e-02,3.607573e-02,8.486288e-04
250,2.690008e-02,3.603902e-02,8.460275e-04
251,3.838903e-02,3.604839e-02,8.427087e-04
252,4.456092e-02,3.608217e-02,8.400414e-04
253,1.692242e-02,3.600644e-02,8.401277e-04
254,5.302222e-02,3.607343e-02,8.394868e-04
255,1.867573e-02,3.600520e-02,8.389625e-04
256,3.352999e-02,3.599553e-02,8.357410e-04
257,3.606841e-02,3.599582e-02,8.324892e-04
258,3.168413e-02,3.597910e-02,8.294302e-04
259,5.655113e-02,3.605853e-02,8.300222e-04
260,2.823961e-02,3.602846e-02,8.273744e-04
261,4.255367e-02,3.605346e-02,8.245821e-04
262,2.851050e-02,3.602467e-02,8.219372e-04
263,2.062911e-02,3.596613e-02,8.208939e-04
264,4.174069e-02,3.598801e-02,8.180758e-04
265,3.431398e-02,3.598169e-02,8.150131e-04
266,3.951925e-02,3.599499e-02,8.120577e-04
267,2.907927e-02,3.596909e-02,8.094292e-04
268,4.203710e-02,3.599173e-02,8.067256e-04
269,6.336360e-02,3.609348e-02,8.101184e-04
270,5.508683e-02,3.616383e-02,8.101664e-04
271,3.583214e-02,3.616260e-02,8.071778e-04
272,5.795606e-02,3.624273e-02,8.081771e-04
273,4.576275e-02,3.627760e-02,8.059687e-04
274,2.621589e-02,3.624088e-02,8.038633e-04
275,4.562693e-02,3.627501e-02,8.016645e-04
276,5.136302e-02,3.632968e-02,8.006216e-04
277,1.836131e-02,3.626481e-02,8.003548e-04
278,3.768464e-02,3.626992e-02,7.974921e-04
279,2.766604e-02,3.623908e-02,7.952298e-04
