step,x,y,z
248,6.28285,8.8505,-8.91147
249,6.52832,8.68276,-9.86625
250,7.01256,8.94693,-10.7004
251,6.96265,9.58064,-11.4723
252,6.30694,9.69375,-10.7258
253,5.85948,10.0524,-11.5451
254,6.14704,9.16349,-11.1884
255,5.65798,9.94997,-11.5656
256,4.9669,9.27536,-11.825
257,4.59346,8.48812,-12.3157
258,4.51054,8.00999,-13.1901
259,4.39519,8.96393,-12.9132
260,4.18456,8.83725,-11.9439
261,3.77407,8.89834,-12.8537
262,3.20258,9.31868,-12.1489
263,3.56807,9.13522,-13.0614
264,2.71557,8.94548,-12.5744
265,2.65557,8.16879,-11.9474
266,1.6977,7.88807,-12.0081
267,1.59865,8.7669,-12.4748
268,1.01891,7.95843,-12.5763
269,0.473451,8.72332,-12.2336
270,0.40792,8.18111,-13.0713
271,1.22971,8.33008,-12.5213
272,1.60532,7.43337,-12.2872
273,1.98654,6.52044,-12.4329
274,2.9015,6.91785,-12.3628
275,2.14872,7.43671,-11.9577
276,1.94009,8.39886,-12.133
277,2.87046,8.03546,-12.0847
278,3.56084,7.43474,-12.4878
279,3.50855,6.61671,-11.915
280,2.71992,7.20571,-11.7385
281,2.43271,7.14081,-10.7829
282,1.51012,7.46437,-10.9929
283,1.687,8.36766,-11.3838
284,1.69691,9.35576,-11.5373
285,2.50591,9.80939,-11.9111
286,1.74512,9.24221,-12.2265
287,1.52613,9.17121,-13.1997
288,0.852839,9.83903,-12.8824
289,-0.0562945,10.2555,-12.8781
290,-0.627492,10.2581,-13.6989
291,-0.950281,9.80216,-14.5283
292,-1.90083,10.085,-14.6565
293,-2.49592,10.1026,-13.853
294,-2.52833,10.5156,-12.9428
295,-2.76404,10.8613,-13.8511
296,-1.92406,10.7516,-14.3825
297,-1.22401,10.3942,-15.0008
298,-1.63978,9.49366,-14.8738
299,-0.758109,9.70196,-14.4504
300,0.000362942,9.49124,-13.8337
301,0.30771,8.62045,-14.2175
302,0.967619,8.12747,-13.6505
303,0.406356,8.48913,-14.3949
304,-0.156417,8.13994,-15.1442
305,-0.651576,8.98002,-15.3657
306,0.127063,9.5132,-15.0349
307,0.915735,10.1279,-15.0249
308,1.80568,9.89833,-15.419
309,0.904737,9.75369,-15.0098
310,1.28985,10.644,-15.2529
311,0.650584,10.9937,-15.9378
312,0.518074,10.0069,-15.8448
313,1.22218,9.32357,-15.6515
314,0.511752,9.35702,-16.3545
315,1.50031,9.26386,-16.4732
316,1.71366,8.74386,-17.3003
317,2.59627,9.18416,-17.465
318,1.84667,9.44252,-18.0744
319,0.955844,9.698,-17.6986
320,1.53112,9.9814,-18.4659
321,1.02511,9.12141,-18.5322
322,0.915711,10.0553,-18.1918
323,1.13484,10.7321,-18.8947
324,2.02156,10.7821,-18.4351
325,2.05327,10.267,-17.5785
326,1.49662,9.45762,-17.3915
327,2.01952,9.4148,-16.5402
328,1.37152,9.67339,-15.8238
329,1.16481,8.91315,-15.2079
330,0.370952,9.08163,-14.6236
331,0.103611,8.58483,-13.7979
332,0.388294,9.34541,-14.3814
333,0.559048,8.69855,-13.6382
334,-0.0930312,9.04581,-12.9642
335,0.566188,8.45444,-12.4998
336,0.785743,7.68606,-13.101
337,1.61904,7.15824,-12.9366
338,1.66499,6.88476,-11.9758
339,1.46608,5.96698,-11.6321
340,1.80844,6.45508,-10.8293
341,1.75787,6.83016,-11.7549
342,2.3388,6.88109,-12.5672
343,1.51763,7.39593,-12.321
344,1.51993,7.72733,-11.3776
345,2.03998,7.99057,-10.565
346,1.08443,7.78406,-10.3546
347,1.34068,7.86316,-11.3179
348,1.77592,6.98233,-11.1316
349,2.06927,7.9016,-11.3941
350,1.54437,8.74325,-11.5211
351,1.64673,9.58102,-10.9847
352,2.55773,9.95322,-11.1624
353,2.91342,9.69343,-12.0601
354,2.82914,9.23055,-11.1777
355,2.96125,8.44265,-11.7792
356,2.73874,9.41593,-11.8359
357,2.37234,9.4707,-10.9071
358,3.06974,9.25533,-10.2235
359,2.92094,9.3615,-9.24035
360,2.44752,8.80631,-9.92418
361,3.43311,8.68329,-10.0403
362,4.16434,8.53346,-10.7058
363,3.62568,8.87985,-11.4738
364,3.70525,8.21343,-12.2151
365,4.11757,7.87769,-13.062
366,4.85364,8.15243,-13.6807
367,4.24941,8.73507,-13.1371
368,3.38883,8.58259,-13.6231
369,3.72685,7.69629,-13.3065
370,2.80808,7.40533,-13.5734
371,3.35159,6.64321,-13.9252
372,2.75365,5.85164,-13.7992
373,3.17002,6.32475,-14.5756
374,2.28365,6.31909,-15.0385
375,3.13736,6.38152,-15.5555
376,2.47837,6.68969,-16.2416
377,2.60785,5.70695,-16.3737
378,1.85387,6.36168,-16.3204
379,1.57003,6.5827,-17.2535
380,0.863452,6.85639,-17.906
381,1.12873,5.9286,-17.6437
382,1.28751,5.09559,-17.1137
383,0.545162,4.85242,-17.7381
384,0.882408,5.69392,-17.316
385,1.42443,6.47336,-17.0018
386,2.37562,6.77184,-16.9234
387,2.35009,6.15078,-17.7068
388,2.70482,5.38306,-17.1731
389,2.13683,6.14941,-17.4733
390,3.00686,6.34612,-17.9253
391,2.72043,6.00634,-18.8212
392,2.93581,5.27436,-19.4676
393,3.56858,6.0038,-19.7274
394,3.57012,5.20319,-20.3266
395,4.0691,5.16376,-21.1923
396,3.24358,4.60904,-21.0884
397,3.51361,5.24289,-21.8132
398,4.36991,5.55357,-22.2257
399,4.16162,6.01975,-21.3659
400,3.53988,6.55914,-21.9338
401,3.7862,5.75389,-21.3945
402,3.29329,6.40349,-21.9733
403,2.88176,6.03726,-22.8079
404,2.78316,5.34388,-23.5217
405,2.5442,5.22554,-24.4855
406,2.41521,6.05298,-25.032
407,3.39492,6.19393,-24.8895
408,3.41324,6.80704,-24.0997
409,4.03702,7.32394,-24.686
410,3.53418,7.89237,-25.3372
411,3.27012,7.86929,-24.373
412,2.81407,8.75152,-24.256
413,2.51829,8.06175,-24.9168
414,2.66501,7.1022,-25.1571
415,1.84493,6.58242,-25.3965
416,2.14736,5.70291,-25.0291
417,2.88161,5.44036,-25.6551
418,3.79347,5.08284,-25.4534
419,4.63361,4.8889,-25.9599
420,4.11656,4.24041,-26.5186
421,3.67317,3.95278,-25.6697
422,3.59988,4.3171,-24.7413
423,3.6082,5.30274,-24.91
424,2.95105,4.55385,-24.9956
425,3.82512,4.9637,-25.2564
426,4.25605,4.55867,-24.45
427,4.12039,4.38533,-25.4255
428,4.4801,4.57811,-24.5126
429,4.44572,5.41967,-23.9735
430,4.72514,5.93579,-24.7832
431,4.03856,5.24275,-25.0029
432,3.0608,5.45216,-25.0142
433,3.65888,6.24176,-24.877
434,2.99197,5.52453,-25.079
435,2.64606,5.15556,-25.9417
436,2.69319,5.25355,-24.9476
437,1.77468,5.00605,-25.256
438,0.985459,5.19289,-24.671
439,0.952507,4.25361,-24.3294
440,1.45814,5.11529,-24.3725
441,1.38414,4.25507,-23.868
442,1.17163,5.1554,-24.2478
443,0.629447,5.58787,-23.5273
444,0.437183,5.36465,-22.5717
445,0.709479,6.32138,-22.6743
446,0.835343,6.07268,-21.714
447,1.72192,6.20972,-22.1558
448,1.71503,5.20976,-22.1616
449,1.60258,5.59971,-23.0755
450,0.880013,5.15039,-22.5502
451,1.19135,4.20054,-22.5792
452,1.06523,4.66411,-21.7022
453,1.33484,4.47596,-22.6466
454,0.42833,4.05464,-22.6735
455,0.304036,4.66597,-21.892
456,0.0126413,4.94256,-22.8077
457,0.42296,5.74386,-22.3723
458,1.1464,5.36083,-21.7979
459,1.82678,5.97835,-21.4033
460,2.4634,6.66367,-21.7569
461,2.77564,7.37834,-22.3828
462,2.5491,7.03557,-23.2945
463,2.45471,6.30077,-22.6228
464,2.32429,6.44793,-23.6033
465,1.75332,5.87225,-24.1886
466,1.3459,6.71016,-24.5518
467,1.93779,6.72668,-23.746
468,1.87701,6.99892,-22.7857
469,1.10099,7.01025,-23.4163
470,0.790821,6.15744,-23.8364
471,1.38073,6.07091,-24.6392
472,1.85539,6.85446,-24.2383
473,2.0151,6.28344,-25.0436
474,1.23934,6.44734,-25.6529
475,0.50469,6.35797,-26.3255
476,1.22544,6.51167,-27.0014
477,1.60889,7.42554,-27.1348
478,2.38603,7.08646,-26.6047
479,3.30169,7.25545,-26.9694
480,2.75733,7.8001,-26.3314
481,2.63328,7.14475,-27.0765
482,2.33359,6.47291,-27.7538
483,2.9263,7,-28.3628
484,3.24469,6.05344,-28.3113
485,2.24587,6.10206,-28.3121
486,2.15303,6.65175,-27.4819
487,1.95651,7.44826,-26.9101
488,1.94976,6.44959,-26.9612
489,1.50779,7.10092,-27.578
490,2.15104,6.86393,-26.85
491,1.5554,6.10509,-27.1134
492,1.91369,6.68075,-27.8484
493,1.3323,6.48717,-28.6387
494,1.2722,7.05565,-29.4592
495,0.333445,6.72555,-29.558
496,0.659426,7.42159,-30.1978
497,-0.286539,7.40588,-30.5216
498,0.187974,6.88664,-29.8108
499,-0.353565,7.61892,-29.3979
500,0.131084,6.75046,-29.5023
501,-0.395472,7.14861,-30.2534
502,0.420169,7.7207,-30.1671
503,0.978927,7.79169,-29.3409
504,0.8058,7.10653,-28.6333
505,1.55698,6.72521,-28.0945
506,1.37868,5.75846,-27.9112
507,1.83954,5.33019,-27.1339
508,1.4105,4.48435,-27.4509
509,2.36342,4.23746,-27.2749
510,1.58915,3.61866,-27.4075
511,1.4098,4.59227,-27.5487
512,0.648791,4.45738,-26.9141
513,0.690439,5.18472,-26.2291
514,-0.163784,5.68724,-26.3624
515,-0.284822,6.54219,-26.8668
516,-0.440869,5.99853,-27.6915
517,0.413931,6.37291,-27.3321
518,0.261574,7.11921,-26.6842
519,0.022002,7.64059,-25.8652
520,0.809047,7.47371,-25.2713
521,1.30786,7.39254,-26.1342
522,0.352774,7.33441,-25.8436
523,1.16954,7.13745,-25.3013
524,2.01476,7.5983,-25.5719
525,1.2008,7.9321,-25.0964
526,1.18057,8.86401,-24.7343
527,0.637048,8.78366,-23.8987
528,0.105529,8.75659,-23.0521
529,-0.50053,8.57338,-23.8262
530,-0.251389,9.51951,-24.033
531,-0.125852,8.93209,-24.8324
532,0.575353,9.45063,-25.3217
533,0.286169,8.62857,-25.8123
534,0.0830288,9.25514,-25.0598
535,-0.345739,8.42054,-24.714
536,-0.182498,7.54904,-24.2516
537,-0.312497,8.34506,-23.6604
538,-0.876871,8.98504,-23.139
539,0.0974413,8.7685,-23.0771
540,0.248672,9.61715,-23.584
541,-0.156021,10.1326,-22.8286
542,0.285441,9.49371,-23.4587
543,0.691237,9.36024,-24.3628
544,0.00145564,9.1127,-25.0432
545,-0.405594,9.51662,-25.8625
546,-1.29764,9.65345,-25.4317
547,-1.14398,9.82378,-26.4051
548,-0.327186,10.025,-26.9458
549,0.145068,9.16307,-27.1304
550,1.02673,8.95901,-27.5559
551,1.90106,8.49435,-27.4158
552,1.93017,7.50031,-27.3107
553,2.56916,7.32299,-28.0592
554,2.29495,6.67976,-28.7741
555,2.03184,7.34759,-29.4703
556,1.75547,8.30864,-29.4699
557,1.03955,8.66454,-28.8693
558,0.459281,9.27913,-28.3349
559,-0.450653,8.89572,-28.4931
560,-1.34564,9.21232,-28.1788
561,-0.581079,9.34234,-28.8101
562,-0.41039,8.6082,-28.1529
563,0.281289,8.19092,-28.7423
564,0.907456,7.6066,-28.2261
565,0.464276,8.20299,-28.8954
566,-0.109901,8.47131,-29.6689
567,-0.0479987,9.46125,-29.7961
568,0.48058,8.65041,-29.5449
569,-0.430973,8.71407,-29.1386
570,-0.212197,9.6872,-29.2104
571,-0.176759,9.12592,-30.0373
572,0.131645,8.58848,-30.8222
573,-0.0938473,7.77351,-30.2883
574,0.413857,8.51636,-29.852
575,0.281152,7.91361,-30.6388
576,0.203604,8.13895,-31.61
577,0.75738,8.83734,-32.0634
578,1.65791,9.16309,-31.7754
579,2.55048,9.52132,-32.0493
580,2.31448,9.92058,-32.9352
581,2.01283,9.93784,-33.8885
582,2.21365,10.5583,-33.1304
583,2.79571,11.3571,-32.9783
584,2.37808,12.0662,-32.4102
585,2.0057,11.1817,-32.1294
586,2.66446,11.3428,-31.3945
