step,distance,error
783,27.9752,0.0116706
784,27.9932,0.0117416
785,28.0116,0.0117439
786,28.0289,0.0117084
787,28.0479,0.0117129
788,28.066,0.0118086
789,28.0837,0.0118691
790,28.1024,0.011841
791,28.1197,0.0118005
792,28.1374,0.0117912
793,28.1553,0.011753
794,28.172,0.0117525
795,28.1898,0.0117796
796,28.2078,0.0118044
797,28.2255,0.0118259
798,28.2431,0.0117281
799,28.2607,0.0116841
800,28.2788,0.0117142
801,28.2975,0.0117486
802,28.3167,0.0117742
803,28.335,0.011729
804,28.3531,0.0117039
805,28.3693,0.0117083
806,28.3868,0.0116144
807,28.4053,0.0116365
808,28.4226,0.0116591
809,28.439,0.0117411
810,28.4559,0.0117923
811,28.4735,0.0119414
812,28.4911,0.0120214
813,28.5089,0.0120601
814,28.5267,0.0120752
815,28.5447,0.0121496
816,28.5624,0.0120417
817,28.5799,0.0119842
818,28.5974,0.0119343
819,28.6141,0.0120062
820,28.6314,0.011975
821,28.6486,0.0120334
822,28.6653,0.0120194
823,28.6822,0.0121292
824,28.6991,0.0121721
825,28.7174,0.0120851
826,28.7346,0.012071
827,28.7527,0.0120689
828,28.7694,0.0121208
829,28.7864,0.0121357
830,28.8037,0.0122347
831,28.8215,0.0122612
832,28.8389,0.0123454
833,28.8569,0.0123793
834,28.8745,0.0122875
835,28.8916,0.0121728
836,28.9084,0.012195
837,28.9266,0.0121049
838,28.9427,0.0121221
839,28.9598,0.0121126
840,28.9762,0.0120725
841,28.9931,0.0120134
842,29.0111,0.0120375
843,29.0284,0.0120116
844,29.044,0.0120656
845,29.0615,0.0120012
846,29.0785,0.012066
847,29.0965,0.0120384
848,29.1131,0.0120851
849,29.1298,0.0121103
850,29.1466,0.0121401
851,29.1636,0.0120949
852,29.1807,0.0120486
853,29.1986,0.0120263
854,29.216,0.012133
855,29.2329,0.0121456
856,29.2507,0.0121434
857,29.2681,0.0121688
858,29.285,0.0122357
859,29.301,0.0120828
860,29.3169,0.0121166
861,29.3337,0.0120918
862,29.3504,0.0120565
863,29.3664,0.0119766
864,29.3827,0.0119431
865,29.3996,0.01197
866,29.4171,0.0119974
867,29.4332,0.0120525
868,29.4505,0.0120723
869,29.4675,0.0120294
870,29.485,0.012074
871,29.5019,0.0120049
872,29.5186,0.0120403
873,29.5364,0.0119827
874,29.5536,0.0120171
875,29.5718,0.0120088
876,29.5879,0.0120355
877,29.604,0.0120684
878,29.6213,0.012091
879,29.6382,0.0121013
880,29.6554,0.0121635
881,29.6726,0.0120797
882,29.6891,0.0121415
883,29.706,0.0121291
884,29.7229,0.0121738
885,29.7405,0.0121625
886,29.7575,0.0121225
887,29.7738,0.0120878
888,29.7904,0.0119898
889,29.8074,0.0119017
890,29.8239,0.0119546
891,29.8404,0.0119561
892,29.858,0.0119702
893,29.8731,0.011912
894,29.8896,0.011889
895,29.9062,0.011802
896,29.9224,0.0117635
897,29.9391,0.0117351
898,29.9556,0.0116905
899,29.9726,0.0117978
900,29.9892,0.0117531
901,30.0053,0.0118071
902,30.022,0.0118921
903,30.0384,0.0117994
904,30.0557,0.0118015
905,30.0723,0.0118706
906,30.0889,0.0118185
907,30.1059,0.0116822
908,30.1225,0.0117047
909,30.1387,0.0116534
910,30.155,0.011501
911,30.1721,0.0114958
912,30.1881,0.0114927
913,30.2052,0.0115971
914,30.2216,0.0115869
915,30.2387,0.0115349
916,30.2558,0.011472
917,30.2724,0.0115274
918,30.2893,0.0114253
919,30.3066,0.0113972
920,30.3238,0.0114155
921,30.3388,0.0114742
922,30.3547,0.0114422
923,30.3707,0.0114983
924,30.3879,0.0114427
925,30.4034,0.0115317
926,30.4201,0.0115484
927,30.4366,0.011453
928,30.4536,0.011569
929,30.4692,0.0115957
930,30.4853,0.0115868
931,30.5023,0.0116443
932,30.5196,0.0116748
933,30.5357,0.011771
934,30.5523,0.0118706
935,30.5691,0.0118792
936,30.5856,0.0119015
937,30.6019,0.0119356
938,30.618,0.0119229
939,30.6345,0.011943
940,30.65,0.0118962
941,30.6664,0.0119263
942,30.6834,0.0118353
943,30.6993,0.011734
944,30.7151,0.0117058
945,30.7309,0.0117665
946,30.7467,0.0118043
947,30.7624,0.0118892
948,30.7805,0.0120066
949,30.7961,0.0120893
950,30.8133,0.0121428
951,30.829,0.0121038
952,30.8453,0.0121505
953,30.8614,0.0122237
954,30.8774,0.0121475
955,30.8941,0.0122031
956,30.9092,0.0121554
957,30.9251,0.0122195
958,30.9416,0.0122522
959,30.9578,0.0122983
960,30.9729,0.0123769
961,30.9887,0.0124174
962,31.0049,0.0123212
963,31.0205,0.0123384
964,31.0358,0.012342
965,31.0519,0.0123842
966,31.0683,0.0123848
967,31.0846,0.0123314
968,31.101,0.0123272
969,31.1182,0.0122768
970,31.1341,0.0122289
971,31.1493,0.0122695
972,31.1662,0.012253
973,31.1818,0.0122616
974,31.1972,0.0122141
975,31.2138,0.0121571
976,31.2285,0.0121794
977,31.245,0.0121779
978,31.2611,0.0121685
979,31.2768,0.0120934
980,31.292,0.0120867
981,31.3069,0.0121285
982,31.3228,0.0121223
983,31.3394,0.0121203
984,31.3559,0.0121142
985,31.3722,0.0120574
986,31.388,0.0119956
987,31.4036,0.0120055
988,31.4199,0.0119879
989,31.4358,0.0120071
990,31.4516,0.0119955
991,31.468,0.0119676
992,31.4847,0.011941
993,31.501,0.0119655
994,31.5166,0.011896
995,31.5314,0.0118609
996,31.5474,0.0118391
997,31.5628,0.0118276
998,31.5787,0.0118423
999,31.5941,0.0119029
1000,31.6107,0.0118695
1001,31.6263,0.0118943
1002,31.6412,0.0119239
1003,31.6566,0.0118686
1004,31.672,0.0118947
1005,31.6872,0.0118549
1006,31.7043,0.0118381
1007,31.7201,0.0119201
1008,31.736,0.0118932
1009,31.7511,0.0119965
1010,31.7664,0.0120859
1011,31.7825,0.0120277
1012,31.7979,0.011966
1013,31.8144,0.0120675
1014,31.8313,0.0120695
