step,distance,error
486,22.0518,0.00876171
487,22.0739,0.00883713
488,22.0961,0.00885651
489,22.1172,0.0088567
490,22.1397,0.00881296
491,22.1609,0.00879999
492,22.1835,0.00884348
493,22.206,0.00896748
494,22.2286,0.00891494
495,22.2507,0.00898445
496,22.2722,0.00897945
497,22.2947,0.00906476
498,22.3176,0.00916601
499,22.34,0.0092116
500,22.3619,0.00921133
501,22.3846,0.00921811
502,22.4059,0.00920593
503,22.4279,0.00907936
504,22.4493,0.00906268
505,22.4709,0.00918415
506,22.4938,0.00921542
507,22.5165,0.00920847
508,22.5391,0.00923869
509,22.5612,0.00921674
510,22.5823,0.00921512
511,22.6058,0.00918183
512,22.6287,0.00919569
513,22.6513,0.00927124
514,22.6733,0.00931167
515,22.695,0.00938728
516,22.7165,0.00942381
517,22.7391,0.00945873
518,22.7613,0.00938226
519,22.7838,0.00936255
520,22.8049,0.00944396
521,22.8266,0.00959439
522,22.8477,0.00963065
523,22.8698,0.00969141
524,22.8915,0.00973833
525,22.9132,0.00972934
526,22.9353,0.00974811
527,22.9579,0.00976824
528,22.9801,0.00980703
529,23.0017,0.00986689
530,23.0241,0.00995456
531,23.0457,0.00998398
532,23.0662,0.00995942
533,23.088,0.00994199
534,23.1091,0.00989521
535,23.1313,0.00991432
536,23.1534,0.00992963
537,23.1752,0.0100029
538,23.1967,0.0100146
539,23.2188,0.0100536
540,23.24,0.00997978
541,23.2614,0.00983676
542,23.2831,0.00992633
543,23.3045,0.00999241
544,23.3252,0.010005
545,23.346,0.00996178
546,23.3685,0.00999958
547,23.3901,0.00999021
548,23.4114,0.00999158
549,23.4333,0.00998994
550,23.4555,0.00998166
551,23.4774,0.0100408
552,23.4981,0.0100834
553,23.5189,0.00999111
554,23.5398,0.00995309
555,23.5615,0.00997255
556,23.5818,0.00996621
557,23.6036,0.0100828
558,23.6246,0.0100571
559,23.646,0.0100778
560,23.6678,0.0101424
561,23.6892,0.010243
562,23.7118,0.010302
563,23.7333,0.010387
564,23.7551,0.0103807
565,23.776,0.0103807
566,23.7976,0.0102998
567,23.818,0.0103813
568,23.8388,0.0103288
569,23.8595,0.0104914
570,23.8796,0.0105064
571,23.9003,0.0104028
572,23.9219,0.0103605
573,23.943,0.0103361
574,23.9634,0.0103796
575,23.9847,0.0104063
576,24.0062,0.0103839
577,24.0274,0.01037
578,24.0479,0.0102814
579,24.0686,0.0102448
580,24.0898,0.010381
581,24.1099,0.0105174
582,24.1299,0.0104261
583,24.1512,0.0104217
584,24.1712,0.0105674
585,24.192,0.0105425
586,24.2124,0.0105393
587,24.2329,0.0104646
588,24.2539,0.0104763
589,24.2743,0.0104516
590,24.2956,0.0104533
591,24.3155,0.0105043
592,24.3362,0.0105882
593,24.3567,0.0105776
594,24.3762,0.010613
595,24.3962,0.010616
596,24.4176,0.0106449
597,24.4373,0.0106606
598,24.4576,0.0106249
599,24.4777,0.0106475
600,24.4974,0.0106319
601,24.5186,0.010679
602,24.5392,0.0107142
603,24.5593,0.0107011
604,24.579,0.0107003
605,24.5986,0.0107205
606,24.6193,0.0107222
607,24.639,0.0106828
608,24.6596,0.0107198
609,24.68,0.0107568
610,24.7001,0.0107418
611,24.7197,0.0106791
612,24.74,0.01066
613,24.7602,0.0107079
614,24.7802,0.0108378
615,24.8008,0.0107952
616,24.8213,0.0107032
617,24.8415,0.0107408
618,24.861,0.0107467
619,24.8815,0.0107127
620,24.9022,0.0107274
621,24.9222,0.0107187
622,24.9415,0.0107485
623,24.9608,0.0107548
624,24.982,0.0106877
625,25.0015,0.0106684
626,25.021,0.0105927
627,25.0408,0.0105952
628,25.0602,0.0106572
629,25.0801,0.0106175
630,25.1,0.0106821
631,25.1203,0.010736
632,25.1403,0.0106511
633,25.1607,0.0106328
634,25.1806,0.0105272
635,25.2012,0.0106982
636,25.221,0.0106301
637,25.2416,0.010594
638,25.2618,0.0106958
639,25.2814,0.0106749
640,25.3011,0.0106528
641,25.3208,0.0106304
642,25.3405,0.0106528
643,25.3598,0.0106717
644,25.3788,0.0106365
645,25.3999,0.0105836
646,25.4188,0.0106115
647,25.4388,0.0105903
648,25.458,0.0105091
649,25.4761,0.0105383
650,25.495,0.0105739
651,25.5146,0.010582
652,25.5343,0.0105607
653,25.5528,0.0104872
654,25.5728,0.0104571
655,25.592,0.0104484
656,25.6111,0.0104915
657,25.6301,0.0105066
658,25.6499,0.0104876
659,25.6688,0.0104488
660,25.688,0.0104401
661,25.707,0.0105613
662,25.7263,0.0105655
663,25.7445,0.0106255
664,25.7636,0.0106756
665,25.7818,0.010638
666,25.8011,0.0106816
667,25.8206,0.0106635
668,25.8398,0.0106421
669,25.8593,0.010686
670,25.8789,0.0106536
671,25.8991,0.0106376
672,25.9198,0.0107664
673,25.9394,0.0109361
674,25.9586,0.010956
675,25.9786,0.0109842
676,25.9979,0.0109374
677,26.0162,0.0108578
678,26.0353,0.010845
679,26.0547,0.0108795
680,26.0736,0.0109088
681,26.0924,0.0109295
682,26.1131,0.010879
683,26.1324,0.0109168
684,26.1521,0.0109978
685,26.1711,0.0110405
686,26.1905,0.0110732
687,26.2091,0.0110354
688,26.2276,0.011047
689,26.2451,0.010992
690,26.2636,0.0110718
691,26.2838,0.0111323
692,26.3029,0.0110668
693,26.3217,0.0110038
694,26.3412,0.0109269
695,26.3607,0.0108981
696,26.3793,0.010925
697,26.3983,0.0109317
698,26.4173,0.0109524
699,26.4355,0.0109557
700,26.4533,0.0109809
701,26.4723,0.0108437
702,26.4907,0.0107981
703,26.5099,0.0108068
704,26.5279,0.0107335
705,26.5472,0.0107213
706,26.5661,0.010855
707,26.5851,0.0108868
708,26.6042,0.0108708
709,26.6228,0.0109284
710,26.6416,0.0109101
711,26.6599,0.0109271
712,26.6791,0.01092
713,26.6985,0.0109184
714,26.7165,0.0109284
715,26.7347,0.0109144
716,26.7537,0.0108822
717,26.7715,0.0108971
718,26.7898,0.0109329
719,26.8073,0.0109866
720,26.826,0.0109412
721,26.845,0.0109992
722,26.8636,0.0109692
723,26.8821,0.0108535
724,26.9001,0.0109026
725,26.919,0.0108892
726,26.9373,0.0109891
727,26.9561,0.0109881
728,26.9742,0.011012
729,26.9927,0.0111439
730,27.0117,0.0112076
731,27.0303,0.0113237
732,27.0491,0.0112806
733,27.0684,0.0112339
734,27.0875,0.0111419
735,27.1059,0.0110889
736,27.1251,0.0110539
737,27.1429,0.0110297
738,27.1613,0.0110605
739,27.1791,0.0111556
740,27.1982,0.0110631
741,27.2164,0.0111335
742,27.2351,0.0111828
743,27.2532,0.0111903
744,27.2707,0.0112302
745,27.2886,0.0111813
746,27.306,0.0112128
747,27.3247,0.0111558
748,27.3427,0.0111871
749,27.3611,0.0112647
750,27.3792,0.0111315
751,27.3978,0.0111604
752,27.4154,0.0112012
753,27.4332,0.0112553
754,27.4517,0.0113234
755,27.4698,0.0112999
756,27.4884,0.0112806
757,27.5063,0.0111693
758,27.5251,0.0111225
759,27.5433,0.0110947
760,27.5613,0.0110782
761,27.5796,0.0110496
762,27.5975,0.0110205
763,27.6158,0.0110356
764,27.634,0.0111149
765,27.6527,0.0111395
766,27.6706,0.0111006
767,27.688,0.0111529
768,27.706,0.0111366
769,27.7243,0.01105
770,27.7421,0.0111392
771,27.761,0.0110309
772,27.7791,0.0109881
773,27.7963,0.0109646
774,27.8136,0.0109843
775,27.8313,0.0109618
776,27.8488,0.0109846
777,27.8668,0.0110054
