step,x,y,z
458,-12,-3,25
459,-11,-3,25
460,-11,-4,25
461,-11,-5,25
462,-11,-5,26
463,-11,-5,27
464,-12,-5,27
465,-12,-4,27
466,-11,-4,27
467,-10,-4,27
468,-11,-4,27
469,-11,-5,27
470,-11,-6,27
471,-11,-7,27
472,-11,-6,27
473,-11,-5,27
474,-11,-5,28
475,-11,-5,27
476,-10,-5,27
477,-10,-4,27
478,-9,-4,27
479,-10,-4,27
480,-10,-4,26
481,-11,-4,26
482,-11,-3,26
483,-11,-3,27
484,-12,-3,27
485,-12,-4,27
486,-13,-4,27
487,-13,-4,26
488,-13,-3,26
489,-13,-3,25
490,-13,-3,26
491,-13,-3,25
492,-13,-2,25
493,-13,-1,25
494,-13,-1,24
495,-13,0,24
496,-12,0,24
497,-12,-1,24
498,-12,-2,24
499,-12,-1,24
500,-12,-1,23
501,-11,-1,23
502,-11,-1,24
503,-11,-1,23
504,-10,-1,23
505,-10,-1,22
506,-9,-1,22
507,-9,-1,21
508,-9,-1,20
509,-9,-2,20
510,-9,-2,21
511,-10,-2,21
512,-10,-2,20
513,-11,-2,20
514,-11,-3,20
515,-11,-3,19
516,-10,-3,19
517,-10,-4,19
518,-9,-4,19
519,-9,-5,19
520,-8,-5,19
521,-7,-5,19
522,-7,-5,20
523,-7,-4,20
524,-6,-4,20
525,-6,-4,21
526,-6,-4,20
527,-6,-4,21
528,-5,-4,21
529,-5,-4,20
530,-5,-5,20
531,-5,-5,19
532,-5,-5,18
533,-5,-6,18
534,-5,-6,19
535,-5,-5,19
536,-6,-5,19
537,-6,-5,20
538,-7,-5,20
539,-6,-5,20
540,-6,-4,20
541,-6,-3,20
542,-6,-2,20
543,-6,-1,20
544,-6,-1,21
545,-6,-1,22
546,-6,-1,21
547,-6,-1,20
548,-6,-1,21
549,-6,0,21
550,-5,0,21
551,-5,1,21
552,-5,2,21
553,-5,3,21
554,-5,2,21
555,-6,2,21
556,-6,2,22
557,-6,3,22
558,-7,3,22
559,-8,3,22
560,-8,4,22
561,-8,4,21
562,-8,4,20
563,-8,4,19
564,-9,4,19
565,-10,4,19
566,-10,3,19
567,-10,3,20
568,-10,4,20
569,-10,5,20
570,-10,5,19
571,-9,5,19
572,-9,6,19
573,-9,7,19
574,-10,7,19
575,-9,7,19
576,-10,7,19
577,-9,7,19
578,-9,6,19
579,-9,6,18
580,-9,6,17
581,-10,6,17
582,-9,6,17
583,-9,6,16
584,-9,7,16
585,-10,7,16
586,-9,7,16
587,-9,6,16
588,-9,5,16
589,-9,5,15
590,-10,5,15
591,-10,5,16
592,-10,4,16
593,-10,4,15
594,-9,4,15
595,-9,3,15
596,-9,2,15
597,-9,1,15
598,-8,1,15
599,-7,1,15
600,-7,1,16
601,-6,1,16
602,-7,1,16
603,-8,1,16
604,-8,1,17
605,-9,1,17
606,-9,2,17
607,-9,2,16
608,-9,2,15
609,-9,2,14
610,-8,2,14
611,-9,2,14
612,-9,1,14
613,-8,1,14
614,-8,2,14
615,-8,3,14
616,-9,3,14
617,-9,4,14
618,-9,4,15
619,-9,5,15
620,-9,5,16
621,-10,5,16
622,-10,4,16
623,-10,4,17
624,-10,5,17
625,-10,5,16
626,-10,6,16
627,-10,7,16
628,-11,7,16
629,-12,7,16
630,-13,7,16
631,-13,7,15
632,-14,7,15
633,-14,7,16
634,-14,7,15
635,-14,7,16
636,-13,7,16
637,-13,7,17
638,-12,7,17
639,-12,8,17
640,-12,7,17
641,-12,6,17
642,-12,6,16
643,-12,6,17
644,-13,6,17
645,-13,6,18
646,-13,6,19
647,-13,7,19
648,-13,7,20
649,-13,8,20
650,-13,7,20
651,-14,7,20
652,-14,6,20
653,-14,6,21
654,-14,7,21
655,-14,8,21
656,-14,8,20
657,-13,8,20
658,-13,8,21
659,-13,7,21
660,-13,7,22
661,-13,7,21
662,-13,7,20
663,-14,7,20
664,-13,7,20
665,-13,8,20
666,-13,8,21
667,-13,8,20
668,-13,7,20
669,-13,7,19
670,-12,7,19
671,-12,6,19
672,-12,6,20
673,-12,5,20
674,-12,5,19
675,-12,5,20
676,-13,5,20
677,-12,5,20
678,-12,5,21
679,-12,6,21
680,-12,7,21
681,-12,6,21
682,-12,5,21
683,-12,4,21
684,-12,5,21
685,-13,5,21
686,-13,4,21
687,-14,4,21
688,-13,4,21
689,-14,4,21
690,-13,4,21
691,-13,4,20
692,-13,3,20
693,-13,4,20
694,-13,4,19
695,-14,4,19
696,-14,5,19
697,-15,5,19
698,-14,5,19
699,-14,5,18
700,-14,4,18
701,-14,4,19
702,-13,4,19
703,-12,4,19
704,-13,4,19
705,-13,5,19
706,-12,5,19
707,-12,5,18
708,-12,6,18
709,-11,6,18
710,-10,6,18
711,-10,6,17
712,-11,6,17
713,-10,6,17
714,-10,7,17
715,-10,7,16
716,-10,8,16
717,-9,8,16
718,-9,9,16
719,-8,9,16
720,-8,10,16
721,-9,10,16
722,-9,10,17
723,-10,10,17
724,-10,10,16
725,-10,11,16
726,-11,11,16
727,-11,10,16
728,-11,10,17
729,-11,9,17
730,-11,9,16
731,-11,9,15
732,-11,9,16
733,-11,8,16
734,-11,8,15
735,-11,8,14
736,-11,9,14
737,-11,10,14
738,-11,10,15
