BLOCK,ACTUAL_KE,KE_AVE,ERROR
364,1.60336,1.6506,0.00146074
365,1.66409,1.65063,0.0014572
366,1.64378,1.65062,0.00145334
367,1.72413,1.65082,0.00146312
368,1.65088,1.65082,0.00145914
369,1.62208,1.65074,0.00145727
370,1.6098,1.65063,0.00145752
371,1.66575,1.65067,0.00145416
372,1.63728,1.65063,0.0014507
373,1.66409,1.65067,0.00144726
374,1.64576,1.65066,0.00144345
375,1.61618,1.65056,0.00144253
376,1.70005,1.6507,0.00144468
377,1.6291,1.65064,0.00144198
378,1.6721,1.6507,0.00143929
379,1.65335,1.6507,0.00143551
380,1.66009,1.65073,0.00143194
381,1.67493,1.65079,0.00142959
382,1.67357,1.65085,0.00142709
383,1.69913,1.65098,0.00142892
384,1.71366,1.65114,0.0014345
385,1.58727,1.65097,0.00144033
386,1.68715,1.65107,0.00143965
387,1.68131,1.65115,0.00143805
388,1.66651,1.65118,0.00143489
389,1.64367,1.65117,0.00143133
390,1.7198,1.65134,0.00143844
391,1.63875,1.65131,0.00143512
392,1.65702,1.65132,0.00143153
393,1.63528,1.65128,0.00142847
394,1.67447,1.65134,0.00142606
395,1.65034,1.65134,0.00142245
396,1.66858,1.65138,0.00141952
397,1.63816,1.65135,0.00141634
398,1.62643,1.65129,0.00141416
399,1.62317,1.65122,0.00141237
400,1.65185,1.65122,0.00140884
