# extr,#blocks,mean-0.5,error,variance,error,chi squared
570000,57,0.000461443,0.000432058,5.25976e-05,0.000108773,88.8
580000,58,0.00045429,0.000424603,7.03175e-05,0.00010834,94.56
590000,59,0.000477798,0.000418006,6.60001e-05,0.000106575,91.84
600000,60,0.000453841,0.000411678,6.04296e-05,0.000104932,108.66
610000,61,0.000389707,0.000409921,7.01481e-05,0.000103654,120.68
620000,62,0.000353427,0.000404884,6.23337e-05,0.000102267,85.96
630000,63,0.000302973,0.000401587,5.50746e-05,0.000100892,85.92
640000,64,0.000273399,0.000396368,7.23066e-05,0.000100788,86.64
650000,65,0.000215875,0.000394439,8.29087e-05,9.97896e-05,94
660000,66,0.000220816,0.000388448,6.82515e-05,9.93531e-05,88.9
670000,67,0.000193375,0.000383589,6.55138e-05,9.78973e-05,107.42
680000,68,0.000247045,0.000381699,6.56253e-05,9.6447e-05,102.5
690000,69,0.00021809,0.000377239,6.61036e-05,9.50401e-05,113.28
700000,70,0.000281377,0.000377158,6.31508e-05,9.37191e-05,118.88
710000,71,0.000292327,0.00037197,5.31948e-05,9.29246e-05,94.4
720000,72,0.000305733,0.000367012,5.7177e-05,9.17114e-05,90.5
730000,73,0.000320422,0.000362247,4.18016e-05,9.17439e-05,88.86
740000,74,0.000334989,0.000357615,4.14182e-05,9.04964e-05,89.36
750000,75,0.000334408,0.000352815,5.03917e-05,8.97315e-05,75.46
760000,76,0.000323595,0.00034831,6.69145e-05,9.00714e-05,90.92
770000,77,0.00030772,0.000344123,7.08049e-05,8.8979e-05,87.54
780000,78,0.000290556,0.000340116,5.95076e-05,8.85544e-05,84.2
790000,79,0.000245765,0.000338757,5.61467e-05,8.74909e-05,116.44
800000,80,0.000256449,0.000334667,5.56294e-05,8.63919e-05,126.02
810000,81,0.000267861,0.000330706,4.13399e-05,8.6507e-05,89.98
820000,82,0.000230042,0.00032883,3.58955e-05,8.56188e-05,97.86
830000,83,0.000198254,0.000326396,3.88262e-05,8.46317e-05,84.8
840000,84,0.000160666,0.00032467,3.29828e-05,8.3822e-05,100.22
850000,85,0.000108836,0.000324987,3.80354e-05,8.2984e-05,82.34
860000,86,7.06235e-05,0.000323451,5.00145e-05,8.28836e-05,78.96
870000,87,0.000102384,0.000321286,4.22121e-05,8.22961e-05,87.86
880000,88,0.000100932,0.000317617,5.90688e-05,8.30835e-05,126.68
890000,89,0.000100153,0.000314029,7.34133e-05,8.33877e-05,83.14
900000,90,5.88804e-05,0.000313251,7.72594e-05,8.25456e-05,108.58
910000,91,0.000129317,0.000317696,7.13338e-05,8.18483e-05,117.26
920000,92,0.000126361,0.000314238,8.46461e-05,8.2041e-05,116.42
930000,93,9.79176e-05,0.000312139,6.8033e-05,8.2837e-05,81.04
940000,94,0.000106628,0.000308924,6.67698e-05,8.19608e-05,97.44
950000,95,0.000127046,0.000306336,6.10601e-05,8.12942e-05,79.22
960000,96,0.00018357,0.000308353,6.29128e-05,8.04643e-05,99.66
970000,97,0.000143861,0.00030773,7.34703e-05,8.03272e-05,100.22
980000,98,0.000144251,0.000304574,7.82737e-05,7.96483e-05,95.24
990000,99,0.000119269,0.000302515,7.57568e-05,7.88798e-05,89.88
1000000,100,0.00011437,0.000299515,7.22669e-05,7.8165e-05,108.24
