BLOCK,ACTUAL_KE,KE_AVE,ERROR
422,1.8,1.8,9.99863e-09
423,1.8,1.8,9.98681e-09
424,1.8,1.8,9.97502e-09
425,1.8,1.8,1.00676e-08
426,1.8,1.8,1.00558e-08
427,1.8,1.8,1.0147e-08
428,1.8,1.8,1.01352e-08
429,1.8,1.8,1.01233e-08
430,1.8,1.8,1.02132e-08
431,1.8,1.8,1.02013e-08
432,1.8,1.8,1.01895e-08
433,1.8,1.8,1.0278e-08
434,1.8,1.8,1.02662e-08
435,1.8,1.8,1.02544e-08
436,1.8,1.8,1.02922e-08
437,1.8,1.8,1.02804e-08
438,1.8,1.8,1.03669e-08
439,1.8,1.8,1.04039e-08
440,1.8,1.8,1.0392e-08
441,1.8,1.8,1.04768e-08
442,1.8,1.8,1.0465e-08
443,1.8,1.8,1.04531e-08
444,1.8,1.8,1.05367e-08
445,1.8,1.8,1.05249e-08
446,1.8,1.8,1.05131e-08
447,1.8,1.8,1.05955e-08
448,1.8,1.8,1.05836e-08
449,1.8,1.8,1.05719e-08
450,1.8,1.8,1.06067e-08
451,1.8,1.8,1.0595e-08
452,1.8,1.8,1.05832e-08
453,1.8,1.8,1.06639e-08
454,1.8,1.8,1.06521e-08
455,1.8,1.8,1.06404e-08
456,1.8,1.8,1.072e-08
457,1.8,1.8,1.07082e-08
458,1.8,1.8,1.06965e-08
459,1.8,1.8,1.07751e-08
460,1.8,1.8,1.07633e-08
461,1.8,1.8,1.07517e-08
462,1.8,1.8,1.08291e-08
463,1.8,1.8,1.08174e-08
464,1.8,1.8,1.08058e-08
465,1.8,1.8,1.08383e-08
466,1.8,1.8,1.08267e-08
467,1.8,1.8,1.08151e-08
468,1.8,1.8,1.08035e-08
469,1.8,1.8,1.08794e-08
470,1.8,1.8,1.08678e-08
471,1.8,1.8,1.08562e-08
472,1.8,1.8,1.09312e-08
473,1.8,1.8,1.09196e-08
474,1.8,1.8,1.09081e-08
475,1.8,1.8,1.0982e-08
476,1.8,1.8,1.09705e-08
477,1.8,1.8,1.0959e-08
478,1.8,1.8,1.10321e-08
