blocks,extractions,radius,error
300,6000000,4.99713,0.00462888
301,6020000,4.99717,0.00461359
302,6040000,4.99722,0.00459864
303,6060000,4.99731,0.00458431
304,6080000,4.99742,0.00457059
305,6100000,4.99714,0.00456441
306,6120000,4.99693,0.00455444
307,6140000,4.99677,0.00454238
308,6160000,4.99673,0.00452775
309,6180000,4.99756,0.00458914
310,6200000,4.99762,0.00457468
311,6220000,4.99761,0.00455995
312,6240000,4.99783,0.0045506
313,6260000,4.99808,0.00454284
314,6280000,4.99839,0.00453917
315,6300000,4.99851,0.00452612
316,6320000,4.99862,0.00451333
317,6340000,4.99847,0.00450163
318,6360000,4.99838,0.00448831
319,6380000,4.99854,0.0044768
320,6400000,4.99829,0.00446949
321,6420000,4.99824,0.00445586
322,6440000,4.99838,0.00444424
323,6460000,4.9985,0.00443203
324,6480000,4.99797,0.00444954
325,6500000,4.998,0.00443594
326,6520000,4.99817,0.00442533
327,6540000,4.99814,0.00441185
328,6560000,4.99803,0.00439969
329,6580000,4.99817,0.00438837
330,6600000,4.99789,0.00438373
331,6620000,4.99794,0.0043707
332,6640000,4.99805,0.00435891
333,6660000,4.99811,0.00434625
334,6680000,4.9984,0.0043425
335,6700000,4.99855,0.00433234
336,6720000,4.99852,0.00431954
337,6740000,4.99834,0.00431049
338,6760000,4.99862,0.00430699
339,6780000,4.99879,0.00429747
340,6800000,4.99855,0.00429143
341,6820000,4.99833,0.00428472
342,6840000,4.99866,0.00428533
343,6860000,4.99865,0.00427282
344,6880000,4.99875,0.00426143
345,6900000,4.99845,0.00425964
346,6920000,4.998,0.004271
347,6940000,4.99775,0.00426572
348,6960000,4.99822,0.00427947
349,6980000,4.99833,0.00426846
350,7000000,4.99824,0.00425715
351,7020000,4.99776,0.00427186
352,7040000,4.99772,0.00425997
353,7060000,4.99822,0.00427728
354,7080000,4.99776,0.00428909
355,7100000,4.99807,0.00428776
356,7120000,4.99828,0.00428081
357,7140000,4.99863,0.0042832
358,7160000,4.99891,0.0042803
359,7180000,4.99901,0.0042695
360,7200000,4.99878,0.00426341
361,7220000,4.9991,0.00426356
362,7240000,4.99915,0.00425209
363,7260000,4.99896,0.00424485
364,7280000,4.9988,0.00423606
365,7300000,4.99874,0.00422496
366,7320000,4.99901,0.0042224
