blocks,extractions,radius,error
340,6800000,5.00325,0.00472033
341,6820000,5.00346,0.00471123
342,6840000,5.00297,0.00472325
343,6860000,5.00246,0.00473729
344,6880000,5.00209,0.00473764
345,6900000,5.0021,0.0047239
346,6920000,5.0017,0.00472748
347,6940000,5.00166,0.00471401
348,6960000,5.00162,0.00470061
349,6980000,5.00146,0.00468975
350,7000000,5.00156,0.00467742
351,7020000,5.00163,0.0046646
352,7040000,5.00197,0.00466337
353,7060000,5.00187,0.00465118
354,7080000,5.00151,0.00465183
355,7100000,5.00157,0.00463907
356,7120000,5.00193,0.00463983
357,7140000,5.00165,0.00463519
358,7160000,5.00174,0.00462318
359,7180000,5.00157,0.00461375
360,7200000,5.00162,0.00460118
361,7220000,5.00148,0.00459055
362,7240000,5.00132,0.00458049
363,7260000,5.00147,0.00457031
364,7280000,5.00132,0.0045602
365,7300000,5.00163,0.00455799
366,7320000,5.00148,0.00454774
367,7340000,5.00139,0.00453638
368,7360000,5.00148,0.00452496
369,7380000,5.00171,0.00451865
370,7400000,5.00141,0.00451656
371,7420000,5.00125,0.0045073
372,7440000,5.0013,0.00449552
373,7460000,5.00145,0.00448576
374,7480000,5.00176,0.00448448
375,7500000,5.00202,0.00448041
376,7520000,5.00221,0.0044724
377,7540000,5.00246,0.00446751
378,7560000,5.0022,0.00446301
379,7580000,5.002,0.00445603
380,7600000,5.00199,0.00444429
381,7620000,5.00205,0.00443299
382,7640000,5.00199,0.00442177
383,7660000,5.00196,0.00441032
384,7680000,5.00196,0.00439882
385,7700000,5.00152,0.00441024
386,7720000,5.00154,0.00439885
387,7740000,5.00158,0.00438773
388,7760000,5.00174,0.00437931
389,7780000,5.00204,0.00437797
390,7800000,5.00187,0.00437004
391,7820000,5.00206,0.0043631
392,7840000,5.00168,0.00436868
393,7860000,5.00186,0.00436114
394,7880000,5.00189,0.00435022
395,7900000,5.00172,0.00434257
396,7920000,5.0021,0.00434799
397,7940000,5.00238,0.00434625
398,7960000,5.00252,0.00433742
399,7980000,5.00243,0.00432744
400,8000000,5.00227,0.0043196
401,8020000,5.00259,0.00432058
402,8040000,5.00266,0.00431037
403,8060000,5.00284,0.00430378
404,8080000,5.0029,0.00429354
405,8100000,5.00309,0.00428694
406,8120000,5.00309,0.00427637
407,8140000,5.00296,0.00426799
408,8160000,5.00289,0.00425812
409,8180000,5.003,0.00424917
410,8200000,5.0027,0.00424903
411,8220000,5.00278,0.00423944
412,8240000,5.00247,0.00424062
413,8260000,5.00248,0.00423035
414,8280000,5.00306,0.00425926
415,8300000,5.00322,0.00425218
416,8320000,5.00357,0.00425608
417,8340000,5.00362,0.00424621
418,8360000,5.0037,0.00423676
419,8380000,5.00408,0.00424375
420,8400000,5.00402,0.00423402
421,8420000,5.00411,0.00422489
422,8440000,5.00457,0.00423968
423,8460000,5.00444,0.00423174
424,8480000,5.00452,0.00422263
425,8500000,5.005,0.00423979
426,8520000,5.00481,0.00423417
427,8540000,5.00475,0.00422467
428,8560000,5.00479,0.00421499
429,8580000,5.00465,0.00420744
430,8600000,5.00459,0.0041981
431,8620000,5.00469,0.00418949
432,8640000,5.0051,0.0042001
433,8660000,5.00516,0.00419081
434,8680000,5.00504,0.00418296
435,8700000,5.00498,0.00417379
436,8720000,5.00508,0.00416559
437,8740000,5.00501,0.00415675
438,8760000,5.00498,0.00414734
439,8780000,5.00448,0.00416812
440,8800000,5.00409,0.00417641
441,8820000,5.004,0.00416788
442,8840000,5.00412,0.00416017
443,8860000,5.00399,0.00415295
444,8880000,5.004,0.0041436
445,8900000,5.00393,0.00413483
446,8920000,5.00362,0.00413727
447,8940000,5.00394,0.00414003
448,8960000,5.00412,0.00413481
449,8980000,5.00422,0.00412698
450,9000000,5.00449,0.00412635
451,9020000,5.0047,0.00412254
452,9040000,5.00456,0.00411573
453,9060000,5.00449,0.00410723
454,9080000,5.00433,0.0041012
455,9100000,5.00398,0.00410776
456,9120000,5.00444,0.00412453
457,9140000,5.00454,0.00411679
458,9160000,5.00492,0.00412561
459,9180000,5.00498,0.00411704
460,9200000,5.00502,0.00410829
461,9220000,5.00508,0.00409969
462,9240000,5.00457,0.00412201
463,9260000,5.00487,0.00412368
464,9280000,5.00486,0.00411479
465,9300000,5.00464,0.00411182
466,9320000,5.00438,0.00411171
467,9340000,5.0041,0.0041121
468,9360000,5.00399,0.0041049
469,9380000,5.00392,0.00409662
470,9400000,5.00393,0.0040879
471,9420000,5.00374,0.00408351
472,9440000,5.00399,0.00408228
473,9460000,5.00385,0.00407584
474,9480000,5.00419,0.00408133
475,9500000,5.0043,0.00407409
476,9520000,5.0042,0.00406662
477,9540000,5.00397,0.00406487
478,9560000,5.00408,0.00405797
479,9580000,5.00411,0.00404957
480,9600000,5.00401,0.00404235
481,9620000,5.0039,0.00403534
482,9640000,5.00393,0.00402707
483,9660000,5.00388,0.00401908
484,9680000,5.00392,0.00401097
485,9700000,5.00394,0.00400274
486,9720000,5.00386,0.00399521
487,9740000,5.00382,0.00398729
488,9760000,5.00373,0.00397997
489,9780000,5.00357,0.00397502
490,9800000,5.00373,0.00397014
491,9820000,5.00372,0.00396207
492,9840000,5.00338,0.00396847
493,9860000,5.00357,0.00396516
494,9880000,5.00377,0.00396198
495,9900000,5.00388,0.00395544
496,9920000,5.00375,0.0039494
497,9940000,5.00355,0.0039465
498,9960000,5.00343,0.00394055
499,9980000,5.00357,0.00393513
500,10000000,5.00366,0.00392832
