blocks,extractions,radius,error
261,5220000,5.00413,0.00987115
262,5240000,5.00367,0.00984393
263,5260000,5.00357,0.00980697
264,5280000,5.00448,0.00981193
265,5300000,5.0045,0.00977486
266,5320000,5.00448,0.00973808
267,5340000,5.00421,0.00970504
268,5360000,5.00454,0.0096743
269,5380000,5.00458,0.00963834
270,5400000,5.00405,0.0096173
271,5420000,5.00363,0.00959087
272,5440000,5.00319,0.00956547
273,5460000,5.00238,0.00956517
274,5480000,5.00259,0.00953253
275,5500000,5.00302,0.00950766
276,5520000,5.00285,0.00947478
277,5540000,5.00301,0.00944186
278,5560000,5.00269,0.00941306
279,5580000,5.00237,0.00938491
280,5600000,5.00208,0.00935581
281,5620000,5.00154,0.00933806
282,5640000,5.00179,0.00930832
283,5660000,5.00165,0.00927649
284,5680000,5.00169,0.00924387
285,5700000,5.00153,0.00921282
286,5720000,5.00157,0.00918067
287,5740000,5.00155,0.00914867
288,5760000,5.00163,0.00911724
289,5780000,5.00205,0.00909514
290,5800000,5.00211,0.00906396
291,5820000,5.00235,0.00903592
292,5840000,5.00219,0.00900632
293,5860000,5.00228,0.00897594
294,5880000,5.00208,0.00894746
295,5900000,5.00233,0.00892057
296,5920000,5.00259,0.0088941
297,5940000,5.00249,0.00886465
298,5960000,5.00255,0.00883507
299,5980000,5.00231,0.00880879
300,6000000,5.00272,0.00878872
301,6020000,5.00283,0.00876024
302,6040000,5.00261,0.00873418
303,6060000,5.00279,0.00870723
304,6080000,5.00273,0.00867874
305,6100000,5.00261,0.00865109
306,6120000,5.00283,0.00862566
307,6140000,5.003,0.00859917
308,6160000,5.00281,0.00857336
309,6180000,5.00304,0.00854875
310,6200000,5.00352,0.00853471
311,6220000,5.00353,0.00850723
312,6240000,5.00381,0.00848441
313,6260000,5.00345,0.00846494
314,6280000,5.00348,0.00843802
315,6300000,5.0035,0.00841121
316,6320000,5.00387,0.0083926
317,6340000,5.00351,0.00837378
318,6360000,5.00369,0.00834938
319,6380000,5.00358,0.00832392
320,6400000,5.00333,0.00830173
321,6420000,5.00397,0.00830074
322,6440000,5.00413,0.00827649
323,6460000,5.00411,0.00825087
324,6480000,5.0046,0.00824016
325,6500000,5.00474,0.00821593
326,6520000,5.00434,0.00820024
327,6540000,5.00435,0.00817513
328,6560000,5.00402,0.00815683
329,6580000,5.00404,0.00813204
330,6600000,5.0039,0.00810853
331,6620000,5.00375,0.00808555
