generation,best_loss,city_1,city_2,city_3,city_4,city_5,city_6,city_7,city_8,city_9,city_10,city_11,city_12,city_13,city_14,city_15,city_16,city_17,city_18,city_19,city_20,city_21,city_22,city_23,city_24,city_25,city_26,city_27,city_28,city_29,city_30,city_31,city_32,city_33,city_34
55,4.86794,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,11,8,23,13,4,17,1,6,16,9,29,31,24,26,20,22,28,33
56,4.86794,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,11,8,23,13,4,17,1,6,16,9,29,31,24,26,20,22,28,33
57,4.86794,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,11,8,23,13,4,17,1,6,16,9,29,31,24,26,20,22,28,33
58,4.86794,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,11,8,23,13,4,17,1,6,16,9,29,31,24,26,20,22,28,33
59,4.86794,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,11,8,23,13,4,17,1,6,16,9,29,31,24,26,20,22,28,33
60,4.86794,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,11,8,23,13,4,17,1,6,16,9,29,31,24,26,20,22,28,33
61,4.86794,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,11,8,23,13,4,17,1,6,16,9,29,31,24,26,20,22,28,33
62,4.86794,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,11,8,23,13,4,17,1,6,16,9,29,31,24,26,20,22,28,33
63,4.81582,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,13,23,8,11,4,17,1,6,16,9,29,31,24,26,20,22,28,33
64,4.81582,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,13,23,8,11,4,17,1,6,16,9,29,31,24,26,20,22,28,33
65,4.81582,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,13,23,8,11,4,17,1,6,16,9,29,31,24,26,20,22,28,33
66,4.81582,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,13,23,8,11,4,17,1,6,16,9,29,31,24,26,20,22,28,33
67,4.81582,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,13,23,8,11,4,17,1,6,16,9,29,31,24,26,20,22,28,33
68,4.81582,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,13,23,8,11,4,17,1,6,16,9,29,31,24,26,20,22,28,33
69,4.81582,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,13,23,8,11,4,17,1,6,16,9,29,31,24,26,20,22,28,33
70,4.81582,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,13,23,8,11,4,17,1,6,16,9,29,31,24,26,20,22,28,33
71,4.81582,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,13,23,8,11,4,17,1,6,16,9,29,31,24,26,20,22,28,33
72,4.81582,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,13,23,8,11,4,17,1,6,16,9,29,31,24,26,20,22,28,33
73,4.81582,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,13,23,8,11,4,17,1,6,16,9,29,31,24,26,20,22,28,33
74,4.81582,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,13,23,8,11,4,17,1,6,16,9,29,31,24,26,20,22,28,33
75,4.81582,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,13,23,8,11,4,17,1,6,16,9,29,31,24,26,20,22,28,33
76,4.81582,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,13,23,8,11,4,17,1,6,16,9,29,31,24,26,20,22,28,33
77,4.81582,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,13,23,8,11,4,17,1,6,16,9,29,31,24,26,20,22,28,33
78,4.81582,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,13,23,8,11,4,17,1,6,16,9,29,31,24,26,20,22,28,33
79,4.81582,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,13,23,8,11,4,17,1,6,16,9,29,31,24,26,20,22,28,33
80,4.81582,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,13,23,8,11,4,17,1,6,16,9,29,31,24,26,20,22,28,33
81,4.81582,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,13,23,8,11,4,17,1,6,16,9,29,31,24,26,20,22,28,33
82,4.81582,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,13,23,8,11,4,17,1,6,16,9,29,31,24,26,20,22,28,33
83,4.81582,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,13,23,8,11,4,17,1,6,16,9,29,31,24,26,20,22,28,33
84,4.81582,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,13,23,8,11,4,17,1,6,16,9,29,31,24,26,20,22,28,33
85,4.81582,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,13,23,8,11,4,17,1,6,16,9,29,31,24,26,20,22,28,33
86,4.81582,0,18,27,21,5,15,2,10,25,14,3,32,7,12,30,19,13,23,8,11,4,17,1,6,16,9,29,31,24,26,20,22,28,33
87,4.81582,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,3,14,25,10,2,15,5,21,27,18
88,4.81582,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,3,14,25,10,2,15,5,21,27,18
89,4.81582,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,3,14,25,10,2,15,5,21,27,18
90,4.81582,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,3,14,25,10,2,15,5,21,27,18
91,4.81582,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,3,14,25,10,2,15,5,21,27,18
92,4.59322,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,27,18
93,4.59322,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,27,18
94,4.59322,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,27,18
95,4.59322,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,27,18
96,4.59322,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,27,18
97,4.59322,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,27,18
98,4.59322,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,27,18
99,4.59322,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,27,18
100,4.59322,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,27,18
101,4.59322,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,27,18
102,4.59322,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,27,18
103,4.59322,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,27,18
104,4.59322,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,27,18
105,4.59322,0,33,28,22,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,27,18
106,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
107,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
108,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
109,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
110,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
111,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
112,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
113,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
114,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
115,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
116,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
117,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
118,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
119,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
120,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
121,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
122,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
123,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
124,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
125,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
126,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
127,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
128,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
129,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
130,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
131,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
132,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
133,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
134,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
135,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
136,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
137,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
138,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
139,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
140,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
141,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
142,4.5675,0,33,20,26,24,31,29,9,16,6,1,17,4,11,8,23,13,19,30,12,7,32,14,3,25,10,2,15,5,21,28,22,27,18
