generation,path_1,path_2,path_3,path_4,path_5,path_6,path_7,path_8
159,286.929,286.929,286.929,286.929,286.929,287.464,287.464,293.675
160,283.632,283.632,283.632,283.632,283.632,283.632,286.929,286.929
161,283.632,283.632,283.632,283.632,283.632,283.632,283.632,286.929
162,283.632,283.632,283.632,283.632,283.632,283.632,283.632,283.632
163,283.632,283.632,283.632,283.632,283.632,283.632,283.632,283.632
164,283.347,283.347,283.347,283.347,283.347,283.347,283.632,283.632
165,283.347,283.347,283.347,283.347,283.347,283.347,283.347,283.347
166,281.403,281.403,281.403,281.403,281.403,281.403,281.403,283.347
167,281.403,281.403,281.403,281.403,281.403,281.403,281.403,289.815
168,281.403,281.403,281.403,281.403,281.403,281.403,281.403,321.878
169,281.403,281.403,281.403,281.403,281.403,281.403,283.128,306.083
170,280.6,280.6,280.6,280.6,280.6,280.6,280.6,284.558
171,280.6,280.6,280.6,280.6,280.6,280.6,280.6,280.6
172,280.6,280.6,280.6,280.6,280.6,280.6,280.6,302.282
173,280.6,280.6,280.6,280.6,280.6,280.6,280.6,282.688
174,280.6,280.6,280.6,280.6,280.6,280.6,280.6,291.435
175,280.6,280.6,280.6,280.6,280.6,280.6,280.6,293.04
176,280.6,280.6,280.6,280.6,280.6,283.843,296.307,296.307
177,280.6,280.6,280.6,280.6,280.6,280.6,296.307,296.307
178,280.6,280.6,280.6,280.6,280.6,280.6,280.6,280.6
179,280.6,280.6,280.6,280.6,280.6,280.6,280.6,290.687
180,280.6,280.6,280.6,280.6,280.6,280.6,280.6,290.687
181,280.124,280.124,280.124,280.124,280.124,280.6,303.04,303.04
182,278.984,278.984,278.984,278.984,278.984,278.984,280.124,303.462
183,278.984,278.984,278.984,278.984,278.984,278.984,293.499,306.788
184,278.984,278.984,278.984,278.984,278.984,278.984,281.117,288.213
185,278.537,278.537,278.537,278.537,278.537,278.537,278.984,281.117
186,276.302,276.302,276.302,276.302,276.302,276.302,278.537,286.028
187,276.302,276.302,276.302,276.302,276.302,294.711,295.363,295.363
188,276.302,276.302,276.302,276.302,276.302,282.391,290.699,290.699
189,273.319,273.319,273.319,273.319,273.319,273.319,278.484,299.968
190,272.391,272.391,272.391,272.391,272.391,273.319,273.319,289.038
191,272.391,272.391,272.391,272.391,272.391,272.391,272.391,272.391
192,272.391,272.391,272.391,272.391,272.391,272.391,272.391,281.621
193,270.603,270.603,270.603,270.603,272.391,272.391,272.391,272.391
194,270.603,270.603,270.603,270.603,270.603,270.603,270.603,284.888
195,270.603,270.603,270.603,270.603,270.603,270.603,270.603,280.652
196,270.603,270.603,270.603,270.603,270.603,270.603,270.603,270.603
197,270.603,270.603,270.603,270.603,270.603,270.603,270.603,280.793
198,270.363,270.363,270.363,270.363,270.363,270.363,270.363,270.363
199,270.252,270.252,270.252,270.252,272.609,273.301,273.301,283.491
200,274.733,274.733,274.733,274.733,274.733,274.733,279.39,284.648
201,274.733,274.733,274.733,274.733,274.733,274.733,277.673,311.943
202,274.733,274.733,274.733,274.733,274.733,274.733,276.291,311.703
203,274.733,274.733,274.733,274.733,274.733,276.291,278.589,335.138
204,274.733,274.733,274.733,274.733,274.733,274.733,274.733,277.218
205,274.733,274.733,274.733,274.733,274.733,274.733,274.733,292.67
206,274.733,274.733,274.733,274.733,274.733,274.733,292.731,292.731
207,274.733,274.733,274.733,274.733,274.733,274.733,274.733,287.161
208,274.174,274.174,274.174,274.174,274.174,274.174,274.733,274.733
209,273.164,273.164,273.164,273.164,273.164,273.164,274.174,281.326
210,273.164,273.164,273.164,273.164,273.164,274.393,275.525,296.85
